d:\developer\workspace\ProjetosMEAN_Stack\teste2\myapp>node app.js
Express server listening on port 3000
GET /socket.io/?EIO=3&transport=polling&t=LW8GhXD 404 17.218 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8Gilo 404 24.067 ms - 1496
GET /socket.io/?EIO=3&transport=polling&t=LW8Gj-W 404 19.247 ms - 1496
^C
d:\developer\workspace\ProjetosMEAN_Stack\teste2\myapp>node app.js
Express server listening on port 3000
GET /socket.io/?EIO=3&transport=polling&t=LW8GlDB 404 1892.618 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Gmvn 404 191.127 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GoBH 404 193.324 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GpSO 404 62.519 ms - 1220
GET / 200 38.993 ms - 1036
GET /javascripts/socket.io/socket.io.js 304 8.398 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8Gpqk 404 52.600 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GqCi 404 42.923 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GqYa 404 25.073 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Grh6 404 54.765 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GsxA 404 142.330 ms - 1220
GET /? 200 14.824 ms - 1036
GET /javascripts/socket.io/socket.io.js 304 2.770 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8GtaL 404 101.081 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Gtlh 404 100.838 ms - 1220
GET /? 304 7.616 ms - -
GET /javascripts/socket.io/socket.io.js 304 1.964 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8Gu41 404 55.315 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GuJ8 404 35.075 ms - 1220
GET /? 304 2.316 ms - -
GET /javascripts/socket.io/socket.io.js 304 0.982 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8GuOw 404 71.314 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Gulr 404 51.103 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Gv2Z 404 28.360 ms - 1220
GET /? 304 21.669 ms - -
GET /javascripts/socket.io/socket.io.js 304 1.777 ms - -
GET /socket.io/?EIO=3&transport=polling&t=LW8Gvpf 404 166.537 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8Gw9E 404 147.304 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GwwO 404 129.884 ms - 1220
GET /socket.io/?EIO=3&transport=polling&t=LW8GyAu 404 127.004 ms - 1220
^C
d:\developer\workspace\ProjetosMEAN_Stack\teste2\myapp>
